Comment,Parameter
dn_prn,39.069169231670166
dn_sn,42.41316931588123
dsn_prn,10.353803097700418
g_n_prn,131.63033304297667
n_prn_gn,129.9753978081604
g_sn_gn,167.27538815761963
n_prn_sn,97.19881732877506
prn_sn_ls,124.84169161080563
n_13_sn,27.196210192253133
sn_13_gn,29.21918263247636
prn_n_sn,20.504126048885663
dsn_gn,51.769015488502085
dch_gn,31.06140929310125
RP_GP,16.092055416907876
AB,[19.01675326]
AC,[36.01257865]
AB_1,53.650337393715176
D_AB,14.523326452819951
AB_2,94.34198670137553
D_AB2,20.426267887387844
dtr_n,71.47866475882336
d1_2,
